Type,Start,End,Duration,Distance,"Average Heart Rate","Max Heart Rate","Average Pace","Average Speed","Average Cadence","Active Energy","Total Energy","Elevation Ascended","Elevation Descended",Weather Temperature,Weather Humidity
"Indoor Cycling","2019-03-14 14:08","2019-03-14 14:23","0:14:58",,"101.57908559676275","108.34384384384387",,,,"100.90899999999992","135.08399999999995",,,"10.000000000000057","52"
"Stair Climbing","2019-03-14 13:36","2019-03-14 13:52","0:16:35",,"108.76427155027815","109.91851310567739",,,,"146.65800000000007","184.48200000000008",,,"9.444444444444457","55"
"Other","2019-03-14 12:52","2019-03-14 13:09","0:17:21",,"91.4780313904646","96.65717723213525",,,,"124.45000000000002","195.32900000000006",,,"9.444444444444457","55"
"Stair Climbing","2019-03-13 17:32","2019-03-13 18:05","0:32:37",,"110.22880918581683","119.305954029761",,,,"293.53100000000023","394.38100000000026",,,"10.000000000000057","55"
"Stair Climbing","2019-03-13 17:06","2019-03-13 17:22","0:16:25",,"121.49206649874714","124.4458627194418",,,,"163.4850000000001","200.82800000000012",,,"10.000000000000057","55"
"Outdoor Walking","2019-03-13 13:44","2019-03-13 14:32","0:48:12","4.26338324323576","79.65378670075215","81.91937795900651","0:11:18","5.306607021567793","223.43104791116355","300.453","432.21900000000005","48.67",,"8.888888888888914","66"
"Outdoor Walking","2019-03-12 16:18","2019-03-12 17:08","0:50:40","4.355675538149779","78.00193400599588","81.39702146192747","0:11:38","5.157261140658886","220.01423168957203","297.472","433.3270000000001","46.79",,"7.222222222222285","69"
"Other","2019-03-08 14:03","2019-03-08 14:10","0:06:15",,"113.99498682148453","113.99498682148453",,,,"44.435000000000024","89.44300000000004",,,"6.111111111111143","60"
"Stair Climbing","2019-03-08 13:42","2019-03-08 13:55","0:12:59",,"123.39038770618836","130.03481143804393",,,,"127.13199999999993","156.79599999999996",,,"5.5555555555556","63"
"Outdoor Walking","2019-03-07 16:43","2019-03-07 16:49","0:05:47","0.3451796277636895","79.89668000473603","79.89668000473603","0:16:46","3.5764722605723787","133.6478811508581","47.87100000000005","82.99500000000006","12.98",,"5.5555555555556","66"
"Indoor Walking","2019-03-06 13:03","2019-03-06 13:33","0:30:18","3.4327612504087157","101.11377834433318","118.89337709125006","0:08:49","6.797258008787173","113.55690879423608","310.70799999999997","411.087",,,"3.3333333333333712","57"
"Stair Climbing","2019-03-06 12:37","2019-03-06 12:52","0:14:21",,"122.70136213263555","125.93703703703706",,,,"142.41999999999996","175.25099999999998",,,"2.7777777777778283","54"
"Other","2019-03-06 11:49","2019-03-06 12:30","0:41:06",,"87.39236823701984","89.05563562986453",,,,"228.6830000000002","321.8840000000003",,,"2.7777777777778283","52"
"Indoor Cycling","2019-03-06 11:18","2019-03-06 11:36","0:17:39",,"109.64842681805227","116.8642574383859",,,,"137.461","177.68500000000003",,,"2.7777777777778283","52"
"Stair Climbing","2019-03-05 15:25","2019-03-05 15:40","0:14:23",,"121.32582782786221","123.62703444360322",,,,"144.22599999999989","205.1249999999999",,,"7.777777777777828","27"
"Stair Climbing","2019-03-05 14:16","2019-03-05 14:46","0:30:19",,"108.40101368930523","114.86835166142689",,,,"260","329.60100000000006",,,"7.777777777777828","26"
"Indoor Cycling","2019-03-05 13:48","2019-03-05 14:04","0:15:14",,"106.64741054216023","115.72025765173784",,,,"106.75699999999996","141.41199999999998",,,"7.777777777777828","26"
"Stair Climbing","2019-03-04 14:59","2019-03-04 15:29","0:30:10",,"116.65158885041687","124.18723049072132",,,,"292.02799999999985","387.6789999999999",,,"7.222222222222285","18"
"Other","2019-03-04 13:42","2019-03-04 14:29","0:47:27",,"110.85754587991273","114.74047908142387",,,,"347.75799999999987","484.73299999999995",,,"6.666666666666686","20"
"Indoor Cycling","2019-03-04 13:22","2019-03-04 13:39","0:16:14",,"105.02181430858545","107.77068557919621",,,,"118.64400000000006","155.6040000000001",,,"6.111111111111143","20"
"Outdoor Walking","2019-03-03 14:41","2019-03-03 16:07","1:25:31","7.260397634981549","76.11472531165262","78.69664889565877","0:11:46","5.093777788421168","223.0584824367593","503.75600000000003","718.4830000000002","90.31",,"6.666666666666686","27"
"Indoor Walking","2019-03-02 17:05","2019-03-02 17:30","0:24:51","2.6580606292340674","92.1297829126897","94.3282861757452","0:09:21","6.414909705778941","112.06432149943726","230.117","317.14099999999996",,,"6.111111111111143","29"
"Stair Climbing","2019-03-02 16:22","2019-03-02 16:58","0:35:49",,"103.3587827363446","112.14098376880442",,,,"278.4560000000001","359.67200000000014",,,"6.666666666666686","29"
"Indoor Cycling","2019-03-02 15:45","2019-03-02 16:15","0:30:17",,"76.86476984176181","81.01845579737896",,,,"99.98400000000002","168.71800000000007",,,"7.222222222222285","28"
"Other","2019-03-02 15:08","2019-03-02 15:35","0:27:06",,"86.60337676052319","90.51492959478567",,,,"150.82900000000015","211.69200000000018",,,"7.777777777777828","27"
"Outdoor Walking","2019-03-01 16:57","2019-03-01 17:59","1:01:44","4.8608592942000834","84.43324312697055","97.46690672625374","0:12:42","4.723702843835885","201.88537210805717","360.492","519.3370000000002","58.92",,"7.222222222222285","52"
"Rowing","2019-03-01 13:16","2019-03-01 13:30","0:14:19",,"97.83333333333333","116",,,,"113.31800000000004","174.76100000000008",,,"7.777777777777828","42"
"Other","2019-03-01 12:59","2019-03-01 13:04","0:05:44",,"104.95324513622342","104.95324513622342",,,,"30.96399999999998","44.119",,,"6.666666666666686","44"
"Stair Climbing","2019-03-01 12:40","2019-03-01 12:55","0:14:50",,"109.77425653312073","111.4524801211662",,,,"126.55699999999995","160.44499999999996",,,"6.111111111111143","47"
"Indoor Cycling","2019-03-01 12:08","2019-03-01 12:27","0:18:58",,"90.54546665548253","91.44051076889349",,,,"101.25399999999996","144.454",,,"6.111111111111143","47"
"Outdoor Walking","2019-02-28 15:12","2019-02-28 16:29","1:16:50","6.057238239295548","86.26391424008818","98.2692494839948","0:12:41","4.729247986530929","214.19161777530513","477.4700000000001","676.7900000000002","142.5",,"7.777777777777828","45"
"Other","2019-02-28 12:51","2019-02-28 13:13","0:22:32",,"96.47794337401602","101.42043000135769",,,,"130.48500000000013","209.60900000000015",,,"6.111111111111143","53"
"Indoor Cycling","2019-02-28 12:17","2019-02-28 12:37","0:19:52",,"87.94890749377399","92.85161891451199",,,,"101.2889999999999","147.38899999999992",,,"5.5555555555556","58"
"Other","2019-02-28 12:11","2019-02-28 12:13","0:02:04",,"76.42307692307692","88",,,,"10.888000000000003","15.972000000000007",,,"5.5555555555556","58"
